age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,sex,capital-balance,hours-per-week,native-country,income
"[17, 56[",Private,120068,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,161007,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,80,United-States,<=50K
"[17, 56[",Private,102828,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,Greece,<=50K
"[17, 56[",Private,103323,Associate,Married-civ-spouse,Machinery,Husband,White,Male,2829,40,United-States,<=50K
"[17, 56[",Private,201699,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,183111,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,569761,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,0,40,United-States,<=50K
"[17, 56[",Private,171355,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,20,United-States,<=50K
"[17, 56[",Private,78980,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,142707,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,155594,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,50,United-States,>50K
"[17, 56[",Private,187226,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,214800,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,180859,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,38,United-States,<=50K
"[17, 56[",Private,203070,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,49,United-States,<=50K
"[17, 56[",Private,97153,Associate,Married-civ-spouse,Machinery,Husband,White,Male,5178,40,United-States,>50K
"[17, 56[",Private,113364,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,55,United-States,<=50K
"[17, 56[",Private,306830,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,Nicaragua,<=50K
"[17, 56[",Private,181382,Associate,Married-civ-spouse,Machinery,Husband,White,Male,3103,40,United-States,>50K
"[17, 56[",Private,247444,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,Columbia,<=50K
"[17, 56[",Private,383322,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,388849,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,60,United-States,<=50K
"[17, 56[",Private,194538,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,48,United-States,>50K
"[17, 56[",Private,110402,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,322385,Associate,Married-civ-spouse,Machinery,Husband,White,Male,2407,40,United-States,<=50K
"[17, 56[",Private,174829,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,35890,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,169589,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,66686,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Private,217926,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,0,50,United-States,<=50K
"[17, 56[",Private,253190,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,25,United-States,<=50K
"[17, 56[",Private,46561,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,115784,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,113364,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,20,United-States,<=50K
"[17, 56[",Private,164198,Associate,Married-civ-spouse,Machinery,Husband,Black,Male,15024,45,United-States,>50K
"[17, 56[",Private,224566,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,50,United-States,<=50K
"[17, 56[",Private,49087,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,70985,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,188925,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,250967,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,193689,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,42,United-States,>50K
"[17, 56[",Private,248011,Associate,Married-civ-spouse,Machinery,Husband,White,Male,5178,40,United-States,>50K
"[17, 56[",Private,198619,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,33798,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,250967,Associate,Married-civ-spouse,Machinery,Husband,White,Male,-1887,48,United-States,>50K
"[17, 56[",Private,93213,Associate,Married-civ-spouse,Machinery,Husband,White,Male,0,62,United-States,<=50K
"[17, 56[",Private,256956,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,27776,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,212619,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,100219,Associate,Never-married,Machinery,Unmarried,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,349190,Associate,Never-married,Machinery,Own-child,White,Male,0,20,United-States,<=50K
"[17, 56[",Private,306215,Associate,Never-married,Machinery,Not-in-family,Black,Male,0,40,United-States,<=50K
"[17, 56[",Private,193882,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,109117,Associate,Never-married,Machinery,Own-child,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,116800,Associate,Never-married,Machinery,Own-child,White,Male,0,35,United-States,<=50K
"[17, 56[",Private,216181,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,207782,Associate,Never-married,Machinery,Own-child,White,Male,0,20,United-States,<=50K
"[17, 56[",Private,433669,Associate,Never-married,Machinery,Not-in-family,White,Male,0,36,?,<=50K
"[17, 56[",Private,138768,Associate,Never-married,Machinery,Own-child,White,Male,0,30,United-States,<=50K
"[17, 56[",Private,95725,Associate,Never-married,Machinery,Not-in-family,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,472070,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,187513,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,162312,Associate,Never-married,Machinery,Not-in-family,Other,Male,0,40,United-States,<=50K
"[17, 56[",Private,305472,Associate,Never-married,Machinery,Own-child,Black,Male,0,48,United-States,<=50K
"[17, 56[",Private,122032,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,150324,Associate,Never-married,Machinery,Unmarried,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,25265,Associate,Never-married,Machinery,Not-in-family,White,Male,0,30,United-States,<=50K
"[17, 56[",Private,321666,Associate,Never-married,Machinery,Own-child,White,Male,0,20,United-States,<=50K
"[17, 56[",Private,188274,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,234108,Associate,Never-married,Machinery,Own-child,White,Male,0,32,United-States,<=50K
"[17, 56[",Private,119592,Associate,Never-married,Machinery,Not-in-family,Black,Male,-2824,40,?,>50K
"[17, 56[",Private,210765,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,190525,Associate,Never-married,Machinery,Unmarried,White,Male,0,45,United-States,<=50K
"[17, 56[",Private,278130,Associate,Never-married,Machinery,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,170456,Associate,Never-married,Machinery,Own-child,White,Male,0,15,United-States,<=50K
"[17, 56[",Private,322674,Associate,Never-married,Machinery,Not-in-family,White,Male,0,48,United-States,<=50K
"[17, 56[",Private,230704,Associate,Never-married,Machinery,Own-child,Black,Male,0,20,Jamaica,<=50K
"[17, 56[",Private,203027,Associate,Never-married,Machinery,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Private,337494,Associate,Never-married,Machinery,Not-in-family,White,Male,0,48,United-States,<=50K
"[17, 56[",Private,421467,Associate,Never-married,Machinery,Own-child,White,Male,0,26,United-States,<=50K
"[17, 56[",Private,55191,Associate,Never-married,Machinery,Not-in-family,White,Male,0,45,United-States,<=50K
"[17, 56[",Government-1,151989,Associate,Divorced,Machinery-1,Unmarried,White,Female,0,40,United-States,<=50K
"[17, 56[",Government-1,160776,Associate,Divorced,Machinery-1,Not-in-family,White,Female,0,40,France,<=50K
"[17, 56[",Government-1,175653,Associate,Divorced,Machinery-1,Not-in-family,White,Female,14084,40,United-States,>50K
"[17, 56[",Government-1,35523,Associate,Divorced,Machinery-1,Not-in-family,White,Female,0,35,United-States,<=50K
"[17, 56[",Government-1,200904,Associate,Married-civ-spouse,Machinery-1,Wife,Black,Female,0,21,Haiti,<=50K
"[17, 56[",Government-1,53606,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,3908,8,United-States,<=50K
"[17, 56[",Government-1,129661,Associate,Married-civ-spouse,Machinery-1,Wife,Amer-Indian-Eskimo,Female,0,40,United-States,>50K
"[17, 56[",Government-1,117528,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,40,United-States,>50K
"[17, 56[",Government-1,168524,Associate,Married-civ-spouse,Machinery-1,Own-child,White,Female,0,40,United-States,<=50K
"[17, 56[",Government-1,193172,Associate,Married-civ-spouse,Machinery-1,Own-child,White,Female,7688,50,United-States,>50K
"[17, 56[",Government-1,144172,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,16,United-States,<=50K
"[17, 56[",Government-1,102541,Associate,Married-civ-spouse,Machinery-1,Wife,Amer-Indian-Eskimo,Female,0,40,United-States,<=50K
"[17, 56[",Government-1,177305,Associate,Married-civ-spouse,Machinery-1,Wife,Black,Female,0,35,United-States,>50K
"[17, 56[",Government-1,67586,Associate,Married-civ-spouse,Machinery-1,Wife,Black,Female,0,35,United-States,<=50K
"[17, 56[",Government-1,211873,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,-1628,5,?,<=50K
"[17, 56[",Government-1,204773,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,40,United-States,<=50K
"[17, 56[",Government-1,139770,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,20,United-States,>50K
"[17, 56[",Government-1,182332,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,40,United-States,<=50K
"[56, 91[",Government-1,100881,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,2,United-States,>50K
"[56, 91[",Government-1,338355,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,15,United-States,<=50K
"[56, 91[",Government-1,117162,Associate,Married-civ-spouse,Machinery-1,Wife,White,Female,0,56,United-States,>50K
"[17, 56[",Government-1,90270,Associate,Married-civ-spouse,Machinery-1,Own-child,Amer-Indian-Eskimo,Male,0,40,United-States,<=50K
"[17, 56[",Government-1,159755,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,50,United-States,>50K
"[17, 56[",Government-1,273425,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,15,United-States,<=50K
"[17, 56[",Government-1,106707,Associate,Married-civ-spouse,Machinery-1,Husband,Black,Male,0,20,United-States,>50K
"[17, 56[",Government-1,69328,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,50,United-States,>50K
"[17, 56[",Government-1,219987,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,13,United-States,<=50K
"[17, 56[",Government-1,353881,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,3103,60,United-States,>50K
"[17, 56[",Government-1,27187,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,-2415,12,United-States,>50K
"[17, 56[",Government-1,302836,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,40,El-Salvador,<=50K
"[17, 56[",Government-1,270228,Associate,Married-civ-spouse,Machinery-1,Husband,Black,Male,7688,40,United-States,>50K
"[17, 56[",Government-1,99127,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government-1,32897,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,20,United-States,<=50K
"[17, 56[",Government-1,319685,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,54,United-States,>50K
"[17, 56[",Government-1,249463,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,20,United-States,<=50K
"[56, 91[",Government-1,94931,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,3411,40,United-States,<=50K
"[56, 91[",Government-1,325537,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,50,United-States,>50K
"[56, 91[",Government-1,198686,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,2,United-States,>50K
"[56, 91[",Government-1,178295,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,3,United-States,<=50K
"[56, 91[",Government-1,145574,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,35,United-States,>50K
"[56, 91[",Government-1,425497,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,20,United-States,<=50K
"[56, 91[",Government-1,281768,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,4,United-States,<=50K
"[56, 91[",Government-1,263374,Associate,Married-civ-spouse,Machinery-1,Husband,White,Male,0,40,Canada,<=50K
"[17, 56[",Government,216453,Associate,Divorced,Management,Unmarried,Black,Female,0,45,United-States,<=50K
"[17, 56[",Government,31621,Associate,Divorced,Management,Not-in-family,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,240628,Associate,Divorced,Management,Not-in-family,White,Female,2354,40,United-States,<=50K
"[17, 56[",Government,268281,Associate,Divorced,Management,Unmarried,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,187462,Associate,Divorced,Management,Own-child,Black,Female,0,40,United-States,<=50K
"[17, 56[",Government,272625,Associate,Divorced,Management,Unmarried,Black,Female,0,40,United-States,>50K
"[17, 56[",Government,33315,Associate,Divorced,Management,Not-in-family,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,139161,Associate,Divorced,Management,Not-in-family,Black,Female,-1741,40,United-States,<=50K
"[17, 56[",Government,142411,Associate,Divorced,Management,Unmarried,White,Female,0,50,United-States,<=50K
"[17, 56[",Government,165726,Associate,Divorced,Management,Unmarried,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,97064,Associate,Divorced,Management,Unmarried,White,Female,0,44,United-States,<=50K
"[17, 56[",Government,223861,Associate,Divorced,Management,Not-in-family,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,218596,Associate,Divorced,Management,Not-in-family,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,169837,Associate,Divorced,Management,Not-in-family,Black,Female,0,40,United-States,<=50K
"[17, 56[",Government,321851,Associate,Divorced,Management,Not-in-family,White,Female,0,30,United-States,<=50K
"[17, 56[",Government,35683,Associate,Divorced,Management,Unmarried,White,Female,0,10,United-States,<=50K
"[17, 56[",Government,267952,Associate,Divorced,Management,Not-in-family,White,Female,0,36,United-States,<=50K
"[17, 56[",Government,37672,Associate,Divorced,Management,Unmarried,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,295791,Associate,Divorced,Management,Unmarried,White,Female,0,38,United-States,<=50K
"[17, 56[",Government,106812,Associate,Divorced,Management,Not-in-family,White,Female,0,38,United-States,<=50K
"[17, 56[",Government,131302,Associate,Divorced,Management,Not-in-family,Black,Female,0,44,United-States,<=50K
"[17, 56[",Government,327786,Associate,Divorced,Management,Not-in-family,White,Female,3325,42,United-States,<=50K
"[17, 56[",Government,218542,Associate,Married-civ-spouse,Management,Wife,White,Female,0,40,United-States,>50K
"[17, 56[",Government,115433,Associate,Married-civ-spouse,Management,Wife,White,Female,7688,33,United-States,>50K
"[17, 56[",Government,127185,Associate,Married-civ-spouse,Management,Wife,White,Female,0,40,United-States,<=50K
"[17, 56[",Government,160646,Associate,Married-civ-spouse,Management,Wife,White,Female,0,35,United-States,<=50K
"[17, 56[",Government,45937,Associate,Married-civ-spouse,Management,Wife,White,Female,0,40,United-States,>50K
"[17, 56[",Government,171095,Associate,Married-civ-spouse,Management,Wife,White,Female,0,35,United-States,>50K
"[17, 56[",Government,168906,Associate,Married-civ-spouse,Management,Wife,White,Female,0,35,United-States,<=50K
"[17, 56[",Government,376302,Associate,Married-civ-spouse,Management,Wife,White,Female,0,35,Nicaragua,>50K
"[17, 56[",Government,47415,Associate,Married-civ-spouse,Management,Wife,White,Female,-1628,30,United-States,<=50K
"[17, 56[",Government,186909,Associate,Married-civ-spouse,Management,Wife,White,Female,0,45,United-States,>50K
"[17, 56[",Government,213195,Associate,Married-civ-spouse,Management,Wife,White,Female,0,40,United-States,>50K
"[17, 56[",Government,43702,Associate,Married-civ-spouse,Management,Wife,White,Female,0,37,United-States,<=50K
"[17, 56[",Government,111499,Associate,Married-civ-spouse,Management,Wife,White,Female,0,20,United-States,>50K
"[17, 56[",Government,206553,Associate,Divorced,Management,Not-in-family,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,207107,Associate,Divorced,Management,Unmarried,Asian-Pac-Islander,Male,-2080,40,Philippines,<=50K
"[17, 56[",Government,137184,Associate,Divorced,Management,Unmarried,White,Male,0,50,United-States,>50K
"[17, 56[",Government,282579,Associate,Divorced,Management,Not-in-family,White,Male,0,56,United-States,<=50K
"[17, 56[",Government,254134,Associate,Divorced,Management,Not-in-family,Black,Male,0,40,United-States,<=50K
"[17, 56[",Government,331482,Associate,Divorced,Management,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,290660,Associate,Divorced,Management,Not-in-family,White,Male,8614,50,United-States,>50K
"[17, 56[",Government,73199,Associate,Divorced,Management,Unmarried,Asian-Pac-Islander,Male,0,40,United-States,<=50K
"[17, 56[",Government,282753,Associate,Divorced,Management,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,192779,Associate,Divorced,Management,Unmarried,White,Male,-2258,38,United-States,>50K
"[17, 56[",Government,68898,Associate,Divorced,Management,Not-in-family,White,Male,-2444,39,United-States,>50K
"[17, 56[",Government,243875,Associate,Divorced,Management,Own-child,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,111130,Associate,Divorced,Management,Own-child,Asian-Pac-Islander,Male,0,40,United-States,<=50K
"[17, 56[",Government,183151,Associate,Married-civ-spouse,Management,Husband,White,Male,0,60,United-States,<=50K
"[17, 56[",Government,117847,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,106257,Associate,Married-civ-spouse,Management,Husband,Black,Male,0,40,United-States,<=50K
"[17, 56[",Government,191858,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,282830,Associate,Married-civ-spouse,Management,Husband,Black,Male,0,40,United-States,>50K
"[17, 56[",Government,69345,Associate,Married-civ-spouse,Management,Husband,White,Male,0,60,United-States,<=50K
"[17, 56[",Government,108464,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,98524,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,124953,Associate,Married-civ-spouse,Management,Husband,White,Male,0,42,United-States,>50K
"[17, 56[",Government,196386,Associate,Married-civ-spouse,Management,Husband,White,Male,4064,40,El-Salvador,<=50K
"[17, 56[",Government,89083,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,195437,Associate,Married-civ-spouse,Management,Husband,White,Male,0,60,United-States,>50K
"[17, 56[",Government,26543,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,349230,Associate,Married-civ-spouse,Management,Husband,White,Male,-1848,40,United-States,>50K
"[17, 56[",Government,97863,Associate,Married-civ-spouse,Management,Husband,White,Male,5178,40,United-States,>50K
"[17, 56[",Government,281540,Associate,Married-civ-spouse,Management,Husband,White,Male,0,45,United-States,<=50K
"[17, 56[",Government,251305,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,212120,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,34862,Associate,Married-civ-spouse,Management,Husband,Asian-Pac-Islander,Male,0,40,United-States,<=50K
"[17, 56[",Government,327886,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,174533,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,37937,Associate,Married-civ-spouse,Management,Husband,White,Male,0,43,United-States,<=50K
"[17, 56[",Government,193249,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,193524,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,240504,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,167474,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,241851,Associate,Married-civ-spouse,Management,Husband,White,Male,4386,40,United-States,>50K
"[17, 56[",Government,212005,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,242150,Associate,Married-civ-spouse,Management,Husband,White,Male,0,50,United-States,<=50K
"[17, 56[",Government,165484,Associate,Married-civ-spouse,Management,Husband,White,Male,0,44,United-States,>50K
"[17, 56[",Government,279881,Associate,Married-civ-spouse,Management,Husband,Black,Male,0,40,United-States,<=50K
"[17, 56[",Government,156015,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,396467,Associate,Married-civ-spouse,Management,Husband,Black,Male,0,50,United-States,>50K
"[17, 56[",Government,191364,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,France,>50K
"[17, 56[",Government,227734,Associate,Married-civ-spouse,Management,Husband,White,Male,0,22,United-States,<=50K
"[17, 56[",Government,150309,Associate,Married-civ-spouse,Management,Husband,Amer-Indian-Eskimo,Male,0,40,United-States,<=50K
"[17, 56[",Government,256864,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,155106,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,345969,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,363591,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
"[17, 56[",Government,187581,Associate,Married-civ-spouse,Management,Husband,White,Male,0,48,United-States,>50K
"[17, 56[",Government,27802,Associate,Married-civ-spouse,Management,Husband,White,Male,0,38,United-States,>50K
"[17, 56[",Government,137421,Associate,Married-civ-spouse,Management,Husband,Asian-Pac-Islander,Male,0,37,Hong,<=50K
"[17, 56[",Government,124020,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,>50K
"[17, 56[",Government,306473,Associate,Married-civ-spouse,Management,Husband,White,Male,0,40,United-States,<=50K
